intent,question,response
food_nutrition_query,Is Cornflakes with milk healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Cornflakes with milk,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Cornflakes with milk?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Cornflakes with milk for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Calories in Rice flakes (Chiwda/Aval)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Is Rice flakes (Chiwda/Aval) healthy?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Nutrition facts of Rice flakes (Chiwda/Aval),"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,How much protein is in Rice flakes (Chiwda/Aval)?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
food_nutrition_query,Can I eat Rice flakes (Chiwda/Aval) for weight loss?,"Most foods provide essential nutrients when consumed in balanced amounts. Check nutrition labels for calorie, protein, carb, and fat content. Consider portion sizes and frequency of consumption. Whole foods are generally more nutritious than processed alternatives."
exercise_query,How to do waist?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Benefits of waist,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Is waist good for weight loss?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,waist for beginners,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Does waist build muscle?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,How to do upper legs?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Benefits of upper legs,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Is upper legs good for weight loss?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,upper legs for beginners,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Does upper legs build muscle?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,How to do back?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Benefits of back,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Is back good for weight loss?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,back for beginners,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Does back build muscle?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,How to do lower legs?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Benefits of lower legs,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Is lower legs good for weight loss?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,lower legs for beginners,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Does lower legs build muscle?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,How to do chest?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Benefits of chest,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Is chest good for weight loss?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,chest for beginners,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Does chest build muscle?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,How to do upper arms?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Benefits of upper arms,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Is upper arms good for weight loss?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,upper arms for beginners,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Does upper arms build muscle?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,How to do cardio?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Benefits of cardio,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Is cardio good for weight loss?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,cardio for beginners,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
exercise_query,Does cardio build muscle?,"Exercise technique is crucial for safety and effectiveness. Use proper form with lighter weights, progress gradually, and focus on movement quality. Consider working with a trainer initially to learn proper technique for exercises."
disease_diet_query,Diet plan for Diabetes,"People with specific health conditions should consult healthcare providers for personalized diet and exercise recommendations. Generally, focus on whole foods, limit sodium/sugar, eat adequate fiber, and maintain healthy weight through balanced nutrition and regular physical activity."
disease_diet_query,What foods to avoid in Diabetes?,"People with specific health conditions should consult healthcare providers for personalized diet and exercise recommendations. Generally, focus on whole foods, limit sodium/sugar, eat adequate fiber, and maintain healthy weight through balanced nutrition and regular physical activity."
disease_diet_query,Best diet for Diabetes patients,"People with specific health conditions should consult healthcare providers for personalized diet and exercise recommendations. Generally, focus on whole foods, limit sodium/sugar, eat adequate fiber, and maintain healthy weight through balanced nutrition and regular physical activity."
disease_diet_query,Can exercise help in Diabetes?,"People with specific health conditions should consult healthcare providers for personalized diet and exercise recommendations. Generally, focus on whole foods, limit sodium/sugar, eat adequate fiber, and maintain healthy weight through balanced nutrition and regular physical activity."
disease_diet_query,Foods recommended for Diabetes,"People with specific health conditions should consult healthcare providers for personalized diet and exercise recommendations. Generally, focus on whole foods, limit sodium/sugar, eat adequate fiber, and maintain healthy weight through balanced nutrition and regular physical activity."
disease_diet_query,Diet plan for Hypertension,"People with specific health conditions should consult healthcare providers for personalized diet and exercise recommendations. Generally, focus on whole foods, limit sodium/sugar, eat adequate fiber, and maintain healthy weight through balanced nutrition and regular physical activity."
disease_diet_query,What foods to avoid in Hypertension?,"People with specific health conditions should consult healthcare providers for personalized diet and exercise recommendations. Generally, focus on whole foods, limit sodium/sugar, eat adequate fiber, and maintain healthy weight through balanced nutrition and regular physical activity."
disease_diet_query,Best diet for Hypertension patients,"People with specific health conditions should consult healthcare providers for personalized diet and exercise recommendations. Generally, focus on whole foods, limit sodium/sugar, eat adequate fiber, and maintain healthy weight through balanced nutrition and regular physical activity."
disease_diet_query,Can exercise help in Hypertension?,"People with specific health conditions should consult healthcare providers for personalized diet and exercise recommendations. Generally, focus on whole foods, limit sodium/sugar, eat adequate fiber, and maintain healthy weight through balanced nutrition and regular physical activity."
disease_diet_query,Foods recommended for Hypertension,"People with specific health conditions should consult healthcare providers for personalized diet and exercise recommendations. Generally, focus on whole foods, limit sodium/sugar, eat adequate fiber, and maintain healthy weight through balanced nutrition and regular physical activity."
weight_loss,How can I lose weight fast?,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day."
weight_loss,Best way to reduce body fat,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day."
weight_loss,I want to slim down,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day."
weight_loss,How to drop 5 kg?,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day."
weight_loss,Tips to burn fat quickly,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day."
weight_loss,How to reduce belly fat?,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day."
weight_loss,Weight loss plan for beginners,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day."
weight_loss,How can I get lean?,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day."
weight_loss,Fat loss diet suggestions,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day."
muscle_gain,Best way to build muscle mass,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains."
muscle_gain,How to bulk up fast?,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains."
muscle_gain,Workout plan for muscle growth,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains."
muscle_gain,How to increase muscle size?,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains."
muscle_gain,Protein intake for muscle gain,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains."
muscle_gain,Strength training routine,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains."
muscle_gain,How to grow biceps?,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains."
muscle_gain,Chest workout for muscle gain,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains."
muscle_gain,Muscle building tips,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains."
diet_general,What is a balanced diet?,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars."
diet_general,Healthy diet plan,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars."
diet_general,What should I eat daily?,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars."
diet_general,Nutrition tips for good health,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars."
diet_general,How to eat healthy?,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars."
diet_general,Best foods for fitness,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars."
diet_general,Simple diet plan,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars."
diet_general,Clean eating tips,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars."
diet_general,Healthy meal ideas,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars."
diet_general,Daily nutrition requirements,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars."
calorie_query,How many calories should I eat?,"A common starting point is your TDEE (Total Daily Energy Expenditure) minus 300–500 calories for weight loss, or plus 300–500 for muscle gain. For most people, that's between 1,500–2,500 calories/day depending on size, age, gender, and activity level."
calorie_query,Maintenance calories calculation,"A common starting point is your TDEE (Total Daily Energy Expenditure) minus 300–500 calories for weight loss, or plus 300–500 for muscle gain. For most people, that's between 1,500–2,500 calories/day depending on size, age, gender, and activity level."
calorie_query,How to count calories?,"A common starting point is your TDEE (Total Daily Energy Expenditure) minus 300–500 calories for weight loss, or plus 300–500 for muscle gain. For most people, that's between 1,500–2,500 calories/day depending on size, age, gender, and activity level."
calorie_query,Calorie intake per day,"A common starting point is your TDEE (Total Daily Energy Expenditure) minus 300–500 calories for weight loss, or plus 300–500 for muscle gain. For most people, that's between 1,500–2,500 calories/day depending on size, age, gender, and activity level."
calorie_query,How many calories to gain weight?,"A common starting point is your TDEE (Total Daily Energy Expenditure) minus 300–500 calories for weight loss, or plus 300–500 for muscle gain. For most people, that's between 1,500–2,500 calories/day depending on size, age, gender, and activity level."
calorie_query,Calorie calculator,"A common starting point is your TDEE (Total Daily Energy Expenditure) minus 300–500 calories for weight loss, or plus 300–500 for muscle gain. For most people, that's between 1,500–2,500 calories/day depending on size, age, gender, and activity level."
calorie_query,Ideal calorie consumption,"A common starting point is your TDEE (Total Daily Energy Expenditure) minus 300–500 calories for weight loss, or plus 300–500 for muscle gain. For most people, that's between 1,500–2,500 calories/day depending on size, age, gender, and activity level."
protein_query,Best protein foods,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery."
protein_query,High protein diet,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery."
protein_query,Vegetarian protein sources,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery."
protein_query,How much protein do I need?,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery."
protein_query,Protein rich Indian foods,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery."
protein_query,Egg protein content,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery."
protein_query,Plant based protein list,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery."
protein_query,Protein for muscle growth,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery."
protein_query,Daily protein intake,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery."
protein_query,Cheap protein sources,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery."
workout_general,Best workout for beginners,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration."
workout_general,How many days should I workout?,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration."
workout_general,Is gym necessary for fitness?,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration."
workout_general,Home workout plan,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration."
workout_general,Full body workout routine,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration."
workout_general,How long should I exercise?,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration."
workout_general,Workout schedule for week,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration."
workout_general,Beginner exercise routine,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration."
workout_general,Daily exercise plan,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration."
workout_general,Simple exercises at home,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration."
belly_fat,How to lose belly fat?,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition."
belly_fat,Exercises for tummy fat,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition."
belly_fat,Reduce stomach fat fast,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition."
belly_fat,Flat stomach workout,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition."
belly_fat,Best diet for belly fat,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition."
belly_fat,How to get abs?,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition."
belly_fat,Lower belly fat removal,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition."
belly_fat,Core workout plan,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition."
belly_fat,Fat around waist solution,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition."
belly_fat,Six pack tips,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition."
bmi_query,BMI chart,"BMI is a simple calculation using height and weight (kg/m²). Categories: underweight (<18.5), normal (18.5–24.9), overweight (25–29.9), obese (30+). It's a rough indicator and doesn't account for muscle mass or body composition."
bmi_query,Body mass index meaning,"BMI is a simple calculation using height and weight (kg/m²). Categories: underweight (<18.5), normal (18.5–24.9), overweight (25–29.9), obese (30+). It's a rough indicator and doesn't account for muscle mass or body composition."
bmi_query,Ideal weight for my height,"BMI is a simple calculation using height and weight (kg/m²). Categories: underweight (<18.5), normal (18.5–24.9), overweight (25–29.9), obese (30+). It's a rough indicator and doesn't account for muscle mass or body composition."
bmi_query,How to check BMI?,"BMI is a simple calculation using height and weight (kg/m²). Categories: underweight (<18.5), normal (18.5–24.9), overweight (25–29.9), obese (30+). It's a rough indicator and doesn't account for muscle mass or body composition."
bmi_query,BMI calculator,"BMI is a simple calculation using height and weight (kg/m²). Categories: underweight (<18.5), normal (18.5–24.9), overweight (25–29.9), obese (30+). It's a rough indicator and doesn't account for muscle mass or body composition."
water_intake,How much water should I drink?,"A common guideline is 8 cups (2 liters) per day, but active individuals need more. Aim for 0.5–1 oz per pound of body weight. Drink more in hot weather or during intense exercise. Proper hydration improves performance and recovery."
water_intake,Daily water intake,"A common guideline is 8 cups (2 liters) per day, but active individuals need more. Aim for 0.5–1 oz per pound of body weight. Drink more in hot weather or during intense exercise. Proper hydration improves performance and recovery."
water_intake,Water needed per day,"A common guideline is 8 cups (2 liters) per day, but active individuals need more. Aim for 0.5–1 oz per pound of body weight. Drink more in hot weather or during intense exercise. Proper hydration improves performance and recovery."
water_intake,Hydration tips,"A common guideline is 8 cups (2 liters) per day, but active individuals need more. Aim for 0.5–1 oz per pound of body weight. Drink more in hot weather or during intense exercise. Proper hydration improves performance and recovery."
water_intake,How many liters of water daily?,"A common guideline is 8 cups (2 liters) per day, but active individuals need more. Aim for 0.5–1 oz per pound of body weight. Drink more in hot weather or during intense exercise. Proper hydration improves performance and recovery."
water_intake,Is 2 liters enough?,"A common guideline is 8 cups (2 liters) per day, but active individuals need more. Aim for 0.5–1 oz per pound of body weight. Drink more in hot weather or during intense exercise. Proper hydration improves performance and recovery."
water_intake,Benefits of drinking water,"A common guideline is 8 cups (2 liters) per day, but active individuals need more. Aim for 0.5–1 oz per pound of body weight. Drink more in hot weather or during intense exercise. Proper hydration improves performance and recovery."
water_intake,Water intake for weight loss,"A common guideline is 8 cups (2 liters) per day, but active individuals need more. Aim for 0.5–1 oz per pound of body weight. Drink more in hot weather or during intense exercise. Proper hydration improves performance and recovery."
water_intake,Stay hydrated tips,"A common guideline is 8 cups (2 liters) per day, but active individuals need more. Aim for 0.5–1 oz per pound of body weight. Drink more in hot weather or during intense exercise. Proper hydration improves performance and recovery."
water_intake,Best time to drink water,"A common guideline is 8 cups (2 liters) per day, but active individuals need more. Aim for 0.5–1 oz per pound of body weight. Drink more in hot weather or during intense exercise. Proper hydration improves performance and recovery."
stamina_energy,Increase energy levels,"Build stamina through progressive cardio training, adequate sleep (7-9 hours), proper nutrition, and stress management. Foods for energy include complex carbs, protein, and healthy fats. Stay hydrated and maintain consistent exercise habits."
stamina_energy,Why do I feel tired?,"Build stamina through progressive cardio training, adequate sleep (7-9 hours), proper nutrition, and stress management. Foods for energy include complex carbs, protein, and healthy fats. Stay hydrated and maintain consistent exercise habits."
stamina_energy,Improve endurance,"Build stamina through progressive cardio training, adequate sleep (7-9 hours), proper nutrition, and stress management. Foods for energy include complex carbs, protein, and healthy fats. Stay hydrated and maintain consistent exercise habits."
