intent,question,response,question_normalized,response_length,has_numbers
food_nutrition_query,Nutrition facts of Rice flakes (Chiwda/Aval),"For detailed nutritional information about Rice flakes (Chiwda/Aval), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",nutrition facts of rice flakes chiwdaaval,284,True
food_nutrition_query,How much protein is in Rice flakes (Chiwda/Aval)?,"For detailed nutritional information about How much protein is in Rice flakes (Chiwda/Aval), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",how much protein is in rice flakes chiwdaaval,307,True
food_nutrition_query,Can I eat Rice flakes (Chiwda/Aval) for weight loss?,"For detailed nutritional information about Can I eat Rice flakes (Chiwda/Aval) for weight loss, check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",can i eat rice flakes chiwdaaval for weight loss,310,True
exercise_query,How to do waist?,"Our exercise database has 1324+ exercises. For waist exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",how to do waist,168,True
exercise_query,Benefits of waist,"Our exercise database has 1324+ exercises. For waist exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",benefits of waist,168,True
exercise_query,Is waist good for weight loss?,"Our exercise database has 1324+ exercises. For waist exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",is waist good for weight loss,168,True
exercise_query,waist for beginners,"Our exercise database has 1324+ exercises. For waist for beginners exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",waist for beginners,182,True
exercise_query,Does waist build muscle?,"Our exercise database has 1324+ exercises. For Does waist build muscle exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",does waist build muscle,186,True
exercise_query,How to do upper legs?,"Our exercise database has 1324+ exercises. For upper legs exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",how to do upper legs,173,True
exercise_query,Benefits of upper legs,"Our exercise database has 1324+ exercises. For upper legs exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",benefits of upper legs,173,True
exercise_query,Is upper legs good for weight loss?,"Our exercise database has 1324+ exercises. For upper legs exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",is upper legs good for weight loss,173,True
exercise_query,upper legs for beginners,"Our exercise database has 1324+ exercises. For upper legs for beginners exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",upper legs for beginners,187,True
exercise_query,Does upper legs build muscle?,"Our exercise database has 1324+ exercises. For Does upper legs build muscle exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",does upper legs build muscle,191,True
exercise_query,How to do back?,"Our exercise database has 1324+ exercises. For back exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",how to do back,167,True
exercise_query,Benefits of back,"Our exercise database has 1324+ exercises. For back exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",benefits of back,167,True
exercise_query,Is back good for weight loss?,"Our exercise database has 1324+ exercises. For back exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",is back good for weight loss,167,True
exercise_query,back for beginners,"Our exercise database has 1324+ exercises. For back for beginners exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",back for beginners,181,True
exercise_query,Does back build muscle?,"Our exercise database has 1324+ exercises. For Does back build muscle exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",does back build muscle,185,True
exercise_query,How to do lower legs?,"Our exercise database has 1324+ exercises. For lower legs exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",how to do lower legs,173,True
exercise_query,Benefits of lower legs,"Our exercise database has 1324+ exercises. For lower legs exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",benefits of lower legs,173,True
exercise_query,Is lower legs good for weight loss?,"Our exercise database has 1324+ exercises. For lower legs exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",is lower legs good for weight loss,173,True
exercise_query,lower legs for beginners,"Our exercise database has 1324+ exercises. For lower legs for beginners exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",lower legs for beginners,187,True
exercise_query,Does lower legs build muscle?,"Our exercise database has 1324+ exercises. For Does lower legs build muscle exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",does lower legs build muscle,191,True
exercise_query,How to do chest?,"Our exercise database has 1324+ exercises. For chest exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",how to do chest,168,True
exercise_query,Benefits of chest,"Our exercise database has 1324+ exercises. For chest exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",benefits of chest,168,True
exercise_query,Is chest good for weight loss?,"Our exercise database has 1324+ exercises. For chest exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",is chest good for weight loss,168,True
exercise_query,chest for beginners,"Our exercise database has 1324+ exercises. For chest for beginners exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",chest for beginners,182,True
exercise_query,Does chest build muscle?,"Our exercise database has 1324+ exercises. For Does chest build muscle exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",does chest build muscle,186,True
exercise_query,How to do upper arms?,"Our exercise database has 1324+ exercises. For upper arms exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",how to do upper arms,173,True
exercise_query,Benefits of upper arms,"Our exercise database has 1324+ exercises. For upper arms exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",benefits of upper arms,173,True
exercise_query,Is upper arms good for weight loss?,"Our exercise database has 1324+ exercises. For upper arms exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",is upper arms good for weight loss,173,True
exercise_query,upper arms for beginners,"Our exercise database has 1324+ exercises. For upper arms for beginners exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",upper arms for beginners,187,True
exercise_query,Does upper arms build muscle?,"Our exercise database has 1324+ exercises. For Does upper arms build muscle exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",does upper arms build muscle,191,True
exercise_query,How to do cardio?,"Our exercise database has 1324+ exercises. For cardio exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",how to do cardio,169,True
exercise_query,Benefits of cardio,"Our exercise database has 1324+ exercises. For cardio exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",benefits of cardio,169,True
exercise_query,Is cardio good for weight loss?,"Our exercise database has 1324+ exercises. For cardio exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",is cardio good for weight loss,169,True
exercise_query,cardio for beginners,"Our exercise database has 1324+ exercises. For cardio for beginners exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",cardio for beginners,183,True
exercise_query,Does cardio build muscle?,"Our exercise database has 1324+ exercises. For Does cardio build muscle exercises, try asking: 'exercises for [muscle group]' or 'how to do [exercise name]' for step-by-step instructions.",does cardio build muscle,187,True
disease_diet_query,Diet plan for Diabetes,For Diabetes dietary management: our disease-food database has specific food recommendations (consume/avoid) for 50 health conditions. Ask: 'foods to eat for [condition]' or 'foods to avoid for [condition]' for personalized guidance. Always consult a healthcare provider for medical nutrition therapy.,diet plan for diabetes,301,True
disease_diet_query,What foods to avoid in Diabetes?,For Diabetes dietary management: our disease-food database has specific food recommendations (consume/avoid) for 50 health conditions. Ask: 'foods to eat for [condition]' or 'foods to avoid for [condition]' for personalized guidance. Always consult a healthcare provider for medical nutrition therapy.,what foods to avoid in diabetes,301,True
disease_diet_query,Best diet for Diabetes patients,For Diabetes dietary management: our disease-food database has specific food recommendations (consume/avoid) for 50 health conditions. Ask: 'foods to eat for [condition]' or 'foods to avoid for [condition]' for personalized guidance. Always consult a healthcare provider for medical nutrition therapy.,best diet for diabetes patients,301,True
disease_diet_query,Can exercise help in Diabetes?,For Can exercise help in Diabetes dietary management: our disease-food database has specific food recommendations (consume/avoid) for 50 health conditions. Ask: 'foods to eat for [condition]' or 'foods to avoid for [condition]' for personalized guidance. Always consult a healthcare provider for medical nutrition therapy.,can exercise help in diabetes,322,True
disease_diet_query,Foods recommended for Diabetes,For Foods recommended for Diabetes dietary management: our disease-food database has specific food recommendations (consume/avoid) for 50 health conditions. Ask: 'foods to eat for [condition]' or 'foods to avoid for [condition]' for personalized guidance. Always consult a healthcare provider for medical nutrition therapy.,foods recommended for diabetes,323,True
disease_diet_query,Diet plan for Hypertension,For Hypertension dietary management: our disease-food database has specific food recommendations (consume/avoid) for 50 health conditions. Ask: 'foods to eat for [condition]' or 'foods to avoid for [condition]' for personalized guidance. Always consult a healthcare provider for medical nutrition therapy.,diet plan for hypertension,305,True
disease_diet_query,What foods to avoid in Hypertension?,For Hypertension dietary management: our disease-food database has specific food recommendations (consume/avoid) for 50 health conditions. Ask: 'foods to eat for [condition]' or 'foods to avoid for [condition]' for personalized guidance. Always consult a healthcare provider for medical nutrition therapy.,what foods to avoid in hypertension,305,True
disease_diet_query,Best diet for Hypertension patients,For Hypertension dietary management: our disease-food database has specific food recommendations (consume/avoid) for 50 health conditions. Ask: 'foods to eat for [condition]' or 'foods to avoid for [condition]' for personalized guidance. Always consult a healthcare provider for medical nutrition therapy.,best diet for hypertension patients,305,True
disease_diet_query,Can exercise help in Hypertension?,For Can exercise help in Hypertension dietary management: our disease-food database has specific food recommendations (consume/avoid) for 50 health conditions. Ask: 'foods to eat for [condition]' or 'foods to avoid for [condition]' for personalized guidance. Always consult a healthcare provider for medical nutrition therapy.,can exercise help in hypertension,326,True
disease_diet_query,Foods recommended for Hypertension,For Foods recommended for Hypertension dietary management: our disease-food database has specific food recommendations (consume/avoid) for 50 health conditions. Ask: 'foods to eat for [condition]' or 'foods to avoid for [condition]' for personalized guidance. Always consult a healthcare provider for medical nutrition therapy.,foods recommended for hypertension,327,True
weight_loss,How can I lose weight fast?,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day.",how can i lose weight fast,259,True
weight_loss,Best way to reduce body fat,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day.",best way to reduce body fat,259,True
weight_loss,I want to slim down,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day.",i want to slim down,259,True
weight_loss,How to drop 5 kg?,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day.",how to drop 5 kg,259,True
weight_loss,Tips to burn fat quickly,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day.",tips to burn fat quickly,259,True
weight_loss,How to reduce belly fat?,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day.",how to reduce belly fat,259,True
weight_loss,Weight loss plan for beginners,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day.",weight loss plan for beginners,259,True
weight_loss,How can I get lean?,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day.",how can i get lean,259,True
weight_loss,Fat loss diet suggestions,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day.",fat loss diet suggestions,259,True
muscle_gain,Best way to build muscle mass,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains.",best way to build muscle mass,264,True
muscle_gain,How to bulk up fast?,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains.",how to bulk up fast,264,True
muscle_gain,Workout plan for muscle growth,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains.",workout plan for muscle growth,264,True
muscle_gain,How to increase muscle size?,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains.",how to increase muscle size,264,True
muscle_gain,Protein intake for muscle gain,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains.",protein intake for muscle gain,264,True
muscle_gain,Strength training routine,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains.",strength training routine,264,True
muscle_gain,How to grow biceps?,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains.",how to grow biceps,264,True
muscle_gain,Chest workout for muscle gain,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains.",chest workout for muscle gain,264,True
muscle_gain,Muscle building tips,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains.",muscle building tips,264,True
diet_general,What is a balanced diet?,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars.",what is a balanced diet,263,False
diet_general,Healthy diet plan,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars.",healthy diet plan,263,False
diet_general,What should I eat daily?,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars.",what should i eat daily,263,False
diet_general,Nutrition tips for good health,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars.",nutrition tips for good health,263,False
diet_general,How to eat healthy?,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars.",how to eat healthy,263,False
diet_general,Best foods for fitness,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars.",best foods for fitness,263,False
diet_general,Simple diet plan,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars.",simple diet plan,263,False
diet_general,Clean eating tips,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars.",clean eating tips,263,False
diet_general,Healthy meal ideas,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars.",healthy meal ideas,263,False
diet_general,Daily nutrition requirements,"A balanced diet includes adequate protein, complex carbohydrates, healthy fats, vitamins, and minerals. Focus on variety—include different colored vegetables, whole grains, lean proteins, and healthy fats. Stay hydrated and limit processed foods and added sugars.",daily nutrition requirements,263,False
calorie_query,How many calories should I eat?,"A common starting point is your TDEE (Total Daily Energy Expenditure) minus 300–500 calories for weight loss, or plus 300–500 for muscle gain. For most people, that's between 1,500–2,500 calories/day depending on size, age, gender, and activity level.",how many calories should i eat,251,True
calorie_query,Maintenance calories calculation,"A common starting point is your TDEE (Total Daily Energy Expenditure) minus 300–500 calories for weight loss, or plus 300–500 for muscle gain. For most people, that's between 1,500–2,500 calories/day depending on size, age, gender, and activity level.",maintenance calories calculation,251,True
calorie_query,How to count calories?,"A common starting point is your TDEE (Total Daily Energy Expenditure) minus 300–500 calories for weight loss, or plus 300–500 for muscle gain. For most people, that's between 1,500–2,500 calories/day depending on size, age, gender, and activity level.",how to count calories,251,True
calorie_query,Calorie intake per day,"A common starting point is your TDEE (Total Daily Energy Expenditure) minus 300–500 calories for weight loss, or plus 300–500 for muscle gain. For most people, that's between 1,500–2,500 calories/day depending on size, age, gender, and activity level.",calorie intake per day,251,True
calorie_query,How many calories to gain weight?,"A common starting point is your TDEE (Total Daily Energy Expenditure) minus 300–500 calories for weight loss, or plus 300–500 for muscle gain. For most people, that's between 1,500–2,500 calories/day depending on size, age, gender, and activity level.",how many calories to gain weight,251,True
calorie_query,Calorie calculator,"A common starting point is your TDEE (Total Daily Energy Expenditure) minus 300–500 calories for weight loss, or plus 300–500 for muscle gain. For most people, that's between 1,500–2,500 calories/day depending on size, age, gender, and activity level.",calorie calculator,251,True
calorie_query,Ideal calorie consumption,"A common starting point is your TDEE (Total Daily Energy Expenditure) minus 300–500 calories for weight loss, or plus 300–500 for muscle gain. For most people, that's between 1,500–2,500 calories/day depending on size, age, gender, and activity level.",ideal calorie consumption,251,True
protein_query,Best protein foods,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery.",best protein foods,229,True
protein_query,High protein diet,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery.",high protein diet,229,True
protein_query,Vegetarian protein sources,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery.",vegetarian protein sources,229,True
protein_query,How much protein do I need?,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery.",how much protein do i need,229,True
protein_query,Protein rich Indian foods,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery.",protein rich indian foods,229,True
protein_query,Egg protein content,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery.",egg protein content,229,True
protein_query,Plant based protein list,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery.",plant based protein list,229,True
protein_query,Protein for muscle growth,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery.",protein for muscle growth,229,True
protein_query,Daily protein intake,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery.",daily protein intake,229,True
protein_query,Cheap protein sources,"Aim for 0.7–1 gram of protein per pound of body weight daily for muscle growth. Good sources include chicken, beef, fish, eggs, Greek yogurt, cottage cheese, legumes, tofu, and tempeh. Protein supports muscle repair and recovery.",cheap protein sources,229,True
workout_general,Best workout for beginners,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration.",best workout for beginners,231,True
workout_general,How many days should I workout?,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration.",how many days should i workout,231,True
workout_general,Is gym necessary for fitness?,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration.",is gym necessary for fitness,231,True
workout_general,Home workout plan,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration.",home workout plan,231,True
workout_general,Full body workout routine,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration.",full body workout routine,231,True
workout_general,How long should I exercise?,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration.",how long should i exercise,231,True
workout_general,Workout schedule for week,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration.",workout schedule for week,231,True
workout_general,Beginner exercise routine,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration.",beginner exercise routine,231,True
workout_general,Daily exercise plan,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration.",daily exercise plan,231,True
workout_general,Simple exercises at home,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery. Quality matters more than duration.",simple exercises at home,231,True
belly_fat,How to lose belly fat?,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition.",how to lose belly fat,253,False
belly_fat,Exercises for tummy fat,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition.",exercises for tummy fat,253,False
belly_fat,Reduce stomach fat fast,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition.",reduce stomach fat fast,253,False
belly_fat,Flat stomach workout,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition.",flat stomach workout,253,False
belly_fat,Best diet for belly fat,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition.",best diet for belly fat,253,False
belly_fat,How to get abs?,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition.",how to get abs,253,False
belly_fat,Lower belly fat removal,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition.",lower belly fat removal,253,False
belly_fat,Core workout plan,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition.",core workout plan,253,False
belly_fat,Fat around waist solution,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition.",fat around waist solution,253,False
belly_fat,Six pack tips,"You can't spot-reduce fat, but overall fat loss reduces belly fat. Focus on a calorie deficit, reduce sugar and processed foods, do cardio and strength training, manage stress, and get quality sleep. Core exercises like planks support muscle definition.",six pack tips,253,False
bmi_query,BMI chart,"BMI is a simple calculation using height and weight (kg/m²). Categories: underweight (<18.5), normal (18.5–24.9), overweight (25–29.9), obese (30+). It's a rough indicator and doesn't account for muscle mass or body composition.",bmi chart,228,True
bmi_query,Body mass index meaning,"BMI is a simple calculation using height and weight (kg/m²). Categories: underweight (<18.5), normal (18.5–24.9), overweight (25–29.9), obese (30+). It's a rough indicator and doesn't account for muscle mass or body composition.",body mass index meaning,228,True
bmi_query,Ideal weight for my height,"BMI is a simple calculation using height and weight (kg/m²). Categories: underweight (<18.5), normal (18.5–24.9), overweight (25–29.9), obese (30+). It's a rough indicator and doesn't account for muscle mass or body composition.",ideal weight for my height,228,True
bmi_query,How to check BMI?,"BMI is a simple calculation using height and weight (kg/m²). Categories: underweight (<18.5), normal (18.5–24.9), overweight (25–29.9), obese (30+). It's a rough indicator and doesn't account for muscle mass or body composition.",how to check bmi,228,True
bmi_query,BMI calculator,"BMI is a simple calculation using height and weight (kg/m²). Categories: underweight (<18.5), normal (18.5–24.9), overweight (25–29.9), obese (30+). It's a rough indicator and doesn't account for muscle mass or body composition.",bmi calculator,228,True
water_intake,How much water should I drink?,"A common guideline is 8 cups (2 liters) per day, but active individuals need more. Aim for 0.5–1 oz per pound of body weight. Drink more in hot weather or during intense exercise. Proper hydration improves performance and recovery.",how much water should i drink,231,True
water_intake,Daily water intake,"A common guideline is 8 cups (2 liters) per day, but active individuals need more. Aim for 0.5–1 oz per pound of body weight. Drink more in hot weather or during intense exercise. Proper hydration improves performance and recovery.",daily water intake,231,True
water_intake,Water needed per day,"A common guideline is 8 cups (2 liters) per day, but active individuals need more. Aim for 0.5–1 oz per pound of body weight. Drink more in hot weather or during intense exercise. Proper hydration improves performance and recovery.",water needed per day,231,True
